"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
178,"Traumatisme","Aparat urogenital","Ruptură de uretră (traumatism)","X","Uretrografie retrogradă","Doar cu aviz specializat","C","Uretrografia fără cateterizare este indicată de urolog (în funcție de decizia reparatorie chirurgicală precoce) între ziua 3 și 10, dacă o realiniere precoce este discutată. Examen de referință pentru clasificarea leziunilor uretrale (întindere, contuzie, ruptura parțială sau completă).",,2,2
179,"Traumatisme","Aparat urogenital","Ruptură de uretră (traumatism)","T","CT abdomino-pelvin cu fază tardivă","Neindicat","C","CT este indicat în cazul politraumatizaților și pentru evidențierea leziunilor asociate.",,3,3
180,"Traumatisme","Aparat urogenital","Traumatism renal-diagnostic","T","CT abdomino-pelvin (fără pregătire prealabilă ,timpi arterial, parenchimatos și excretor)","Indicat","C","CT este tehnica de referință pentru evaluarea pacienților stabili. Este util pentru detectarea sângerărilor vasculare active, tulburărilor de perfuzie renală, leziunilor parenchimatoase (decalaj interfragmentar), leziunilor de căi excretorii, hematoamelor și urinoamelor, leziunilor asociate abdominale și pelvine.","CT este tehnica de elecție pentru pacienții cu traumatisme majore+/- hipotensiune, +/- hematurie macroscopică. Trebuie efectuat CT tardiv (fază excretorie) pentru evaluarea sistemului colector. În cazul pacienților grav răniți la care nu se poate efectua examenul CT se poate recurge la urografia intravenoasă; aceasta este mai puțin acurată decât CT și nu evaluează traumatismele părților moi intraabdominale dar poate fi utilizată pentru evidențierea fracturilor, perforației sau leziunilor pediculare renale.",3,3
181,"Traumatisme","Aparat urogenital","Traumatism renal-diagnostic","E","Ecografia aparatului urinar","Doar în cazuri particulare","C","Nu face bilanțul exact al leziunilor parenchimatoase, vasculare și de căi excretorii.1) Permite verificarea prezenței ambilor rinichi și a eventualelor malformații sau tumori renale. 2)  Detectarea epanșamentului intraperitoneal (hemoragie). 3) Monitorizarea traumatismelor minore.","Ecografia poate fi folositoare pentru evaluarea inițială (triaj) a pacienților cu suspiciune de leziune renală dar ecografia negativă nu exclude prezența leziunii renale.",0,0
182,"Traumatisme","Aparat urogenital","Traumatism renal-diagnostic","M","IRM abdominal","Doar în cazuri particulare","C","IRM nu este indicat în urgență. La distanță, furnizează informații morfologice și funcționale. Poate aduce aceleași informații ca și CT în cazul tulburărilor de perfuzie, leziunilor parenchimatoase (diastază), leziunilor de căi excretorii, hematoamelor și urinoamelor. IRM este mai dificil de efectuat la politraumatizați (accesibilitate, supraveghere, durata examenului).",,0,0
183,"Traumatisme","Aparat urogenital","Traumatism renal-diagnostic","A","Arteriografia renala","Doar cu aviz specializat","B","Arteriografia este indicată în cazuri particulare, în urgență, pentru hemoragii necontrolate (sângerare activă la CT și status hemodinamic instabil) și în disecțiile posttraumatice ale arterei renale dacă se consideră posibilă recuperarea funcțională (durata ischemiei).",,2,2
184,"Traumatisme","Aparat urogenital","Traumatism scrotal","E","Ecografie Doppler scrotală","Doar cu aviz specializat","C","În cazul unei bursite acute traumatice este recomandat un control urologic în urgență. Ecografia Doppler poate fi efectuată la recomandarea urologului.",,0,0
185,"Traumatisme","Aparat urogenital","Traumatism scrotal","M","IRM pelvin","Neindicat","C","IRM nu este indicat în practica curentă. În cazuri particulare, poate fi indicat pentru bilanțul fracturilor testiculare.",,0,0
186,"Traumatisme","Aparat urogenital","Traumatism scrotal","N","Scintigrafie scrotală","Neindicat","C","Scintigrafia nu este indicată în practica curentă.",,1,1
187,"Traumatisme","Aparat urogenital","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
188,"Traumatisme","Bazin și sacru","Politraumatism: hemoragie gravă asociată unei fracturi de bazin","I","Arteriografie cu embolizare","Doar cu aviz specializat","C","Indicată de primă intenție în absența vizualizării ecografice a punctului de plecare a hemoragiei abdominale[C]: în cazul intervenției chirurgicale imediate (politraumatism cu instabilitate hemodinamică), embolizarea poate fi propusă după meșajul preperitoneal (pre-peritoneal packing ), în cazul persistenței sângerării arteriale inaccesibilă chirurgical[C]; este indicată în cazul extravazării substanței de contrast la examenul CT. Embolizarea poate fi proximală (ocluzie hipogastrică uni- sau bilaterală) sau selectivă în funcție de statusul hemodinamic al pacientului, în funcție de pierderile sanguine inițiale, de numărul de surse hemoragice identificate arteriografic[B]; embolizarea ar putea fi repetată în cazul recidivei hemoragice după încetarea vasospasmului[B]; de asemenea este indicată în toate cazurile, fiind importantă stabilizarea pelvină asociată (clampare, fixator extern) înainte de oprirea hemoragiei venoase[C]. Este tratamentul de elecţie la pacienţii cu stare hemodinamică instabilă şi hemoragie pelvină demonstrată.","RI - PB3",3,4
189,"Traumatisme","Bazin şi sacru","Traumatism izolat de bazin","T","CT de bazin","Indicat","A","Explorare imagistică de elecție pentru bilanțul leziunilor osoase.",,3,3
190,"Traumatisme","Bazin şi sacru","Traumatism izolat de bazin","G","Radiografie de bazin","Doar în cazuri particulare","A","Radiografia de bazin în incidență de față este indicată în traumatismele minore și la pacientul traumatizat, instabil. Prezența unei leziuni la traumatizatul instabil trebuie să ridice problema unei embolizări. Radiografiile nu sunt indicate dacă este luată în considerare efectuarea unui CT toraco-abdomino-pelvin în urgență. Reconstrucțiile 2D,3D și MPR groase  ale bazinului sunt mult mai performante decât radiografia standard.",,2,2
191,"Traumatisme","Bazin şi sacru","Traumatism izolat de bazin","M","IRM de bazin","Doar în cazuri particulare","B","Explorare imagistică de elecție în fracturile oculte.",,0,0
192,"Traumatisme","Bazin şi sacru","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
193,"Traumatisme","Cap","Traumatism cranio-encefalic (pentru copii – vezi capitolul Pediatrie)","N","PET-CT (F18-FDG) si SPECT-CT (99mTc-HMPAO)","Doar cu aviz specializat","C","În faza cronică a traumatismelor craniene PET-CT cu fluorodeoxiglucoză (FDG) sau implicit tomoscintigrafia de perfuzie cerebrală (SPECT) pot fi realizate pentru evaluarea unui bilanț al sechelelor.",,4,4
194,"Traumatisme","Cap","Traumatism cranio-encefalic (pentru copii – vezi capitolul Pediatrie)","N","PET-CT (F18-FDG) si SPECT-CT (99mTc-HMPAO)","Doar cu aviz specializat","C","În faza cronică a traumatismelor craniene PET cu fluorodeoxiglucoză (FDG) sau implicit tomoscintigrafia de perfuzie cerebrală (SPECT) pot fi realizate pentru evaluarea unui bilanț al sechelelor.",,4,4
195,"Traumatisme","Cap","Traumatism cranio-encefalic (pentru copii – vezi capitolul Pediatrie)","T","CT cerebral","Indicat","A","În caz de traumatism cranian CT este examenul de primă intenție și este recomandat pentru: a) pacienți cu pierderea cunoștinței sau amnezie posttraumatică dacă este prezent doar unul din următoarele elemente: cefalee, vărsături, vârsta peste 60 de ani, intoxicație alcoolică sau cu droguri, deficit de memorie pe termen scurt, traumatisme supraclaviculare, crize convulsive, scor Glasgow sub 15, deficit neurologic, coagulopatie; b) pacienți fără pierderea cunoștinței sau amnezie posttraumatică dacă unul din următoarele elemente este prezent: deficit neurologic, vărsături, cefalee severă, vârsta peste 65 de ani, suspiciune de fractură de bază de craniu, scor Glasgow sub 15, coagulopatie, traumatism cu mecanism periculos (ejecție din automobil, pieton lovit de automobil, cădere de mai mult de 5 trepte, etc).",,2,2
196,"Traumatisme","Cap","Traumatism cranio-encefalic (pentru copii – vezi capitolul Pediatrie)","M","IRM cerebral","Doar în cazuri particulare","B","Nu exista indicație pentru efectuarea IRM în faza acută a unui traumatism cranian (chiar și ușor). IRM este mai sensibil decât CT pentru detectarea leziunilor axonale difuze și a leziunilor de trunchi cerebral (acestea ar putea avea o valoare prognostică).",,0,0
197,"Traumatisme","Cap","Traumatism cranio-encefalic (pentru copii – vezi capitolul Pediatrie)","G","Radiografie de craniu","Neindicat","?",,,1,1
198,"Traumatisme","Cap","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
199,"Traumatisme","Coloană cervicală","Cervicalgii posttraumatice","G","Radiografie standard","Indicat","B","Radiografiile simple trebuie să evidenţieze toată coloana cervicală până la nivel T1/T2.",,1,1
200,"Traumatisme","Coloană cervicală","Cervicalgii posttraumatice","M","IRM","Doar în cazuri particulare","B","Un examen CT (pentru leziunile osoase) sau IRM (pentru leziunile de părţi moi) pot fi necesare, la recomandarea unui specialist, mai ales dacă radiografia este neconcludentă sau leziunile sunt complexe.",,0,0
201,"Traumatisme","Coloană cervicală","Cervicalgii posttraumatice","T","CT","Doar în cazuri particulare","B","Un examen CT (pentru leziunile osoase) sau IRM (pentru leziunile de părţi moi) pot fi necesare, la recomandarea unui specialist, mai ales dacă radiografia este neconcludentă sau leziunile sunt complexe.",,2,2
202,"Traumatisme","Coloană cervicală","Cervicalgii posttraumatice cu bilanț inițial normal","G","Radiografia coloanei cervicale","Indicat","B","Radiografiile dinamice în flexie-extensie trebuie efectuate sub control radioscopic. Sunt indicate dacă bilanțul reevaluării standard, de față și profil în ortostatism este normal. Amplitudinea mișcarilor trebuie să rămână în zona nedureroasă cu amplitudini de minim 30 de grade flexie și extensie. În caz de negativitate, radiografiile dinamice se pot repeta la distanță sau se pot completa cu o examinare IRM.","Dacă nu se poate efectua examenul IRM, sunt utile incidențele radiografice în flexie/extensie, numai dacă pacientul poate fi mobilizat (în anumite cazuri aceste radiografii pot fi efectuate la minimum 10 zile dupa traumatism). CT este mai acurat, comparativ cu radiografia, în depistarea leziunilor vertebrale cervicale oculte.",1,1
203,"Traumatisme","Coloană cervicală","Cervicalgii posttraumatice cu bilanț inițial normal","M","IRM coloană cervicală","Doar în cazuri particulare","C"," IRM poate pune în evidență leziuni ale segmentului mobil al coloanei. O ruptură discală și/sau de ligament longitudinal posterior este în favoarea unei leziuni instabile a coloanei vertebrale.","IRM este investigația de elecție care pune în evidență leziuni ligamentare, medulare și de părți moi. Un aspect IRM normal poate exclude cu certitudine leziunile coloanei cervicale.",0,0
204,"Traumatisme","Coloană cervicală","Pacient conştient, cu leziune la nivelul capului şi/sau feţei","G","Radiografie coloană cervicală","Doar în cazuri particulare","B","Radiografiile simple sunt utile dacă există: 1) modificări ale stării de conştienţă 2) intoxicaţie 3) manifestări neurologice focale 4) punct dureros cervical",,1,1
205,"Traumatisme","Coloană cervicală","Pacient inconştient cu traumatism cranian","G","Radiografie coloană cervicală","Indicat","B","Radiografiile simple trebuie sa evidenţieze toată coloana cervicală până la nivel T1/T2. Aceste clişee sunt dificil de realizat din moment ce trebuie evitată mobilizarea coloanei cervicale. Dacă regiunea cranio-vertebrală sau joncţiunea cervico-toracală nu sunt perfect puse în evidenţă sau dacă există o suspiciune de fractură, este indicat un examen CT.",,1,1
206,"Traumatisme","Coloană cervicală","Pacient inconştient cu traumatism cranian","T","CT","Indicat","B","Cum în acest context este indicat un examen CT cranian, radiografiile simple de coloană cervicală pot fi înlocuite de o explorare CT care să cuprindă regiunile cranio-vertebrale şi cervico-toracice. Trebuie evitată orice mobilizare a coloanei cervicale.",,2,2
207,"Traumatisme","Coloană cervicală","Traumatism cervical benign","G","Radiografia coloanei cervicale","Doar în cazuri particulare","A","Se aplică regulile de predicție clinică NEXUS și/sau C-CSR. În cazul în care sunt indicate, radiografiile simple ar trebui să evidențieze coloana cervicală în totalitate până la T1/T2. Nu există argumente pentru a înlocui radiografia cu examenul CT.",,1,1
208,"Traumatisme","Coloană cervicală","Traumatism cervical cu simptome algice, dar bilanţ radiografic normal; suspiciune de leziune ligamentară","G","Radiografii dinamice","Doar cu aviz specializat","B","Radiografiile dinamice în flexie-extensie trebuie efectuate sub control scopic. Mişcările trebuie realizate de pacient, fără ajutor extern, sub control medical. În caz de examen negativ, radiografiile dinamice pot fi repetate la distanţă.",,1,1
209,"Traumatisme","Coloană cervicală","Traumatism cervical cu simptome algice, dar bilanţ radiografic normal; suspiciune de leziune ligamentară","M","IRM","Doar cu aviz specializat","C","IRM-ul poate pune în evidenţă leziuni ligamentare.",,0,0
210,"Traumatisme","Coloană cervicală","Traumatism cervical sever cu afectare neurologică","T","CT coloană cervicală","Indicat","B","CT este foarte eficient pentru evaluarea leziunilor osoase, în special cele ale articulațiilor cervico-occipitale și ale arcurilor posterioare.",,2,2
211,"Traumatisme","Coloană cervicală","Traumatism cervical sever cu afectare neurologică","M","IRM coloană cervicală","Doar în cazuri particulare","B","IRM este indicat în cazul unei examinări CT normale, pentru detectarea compresiei medulare. IRM tinde să supraevalueze leziunile ligamentare.",,0,0
212,"Traumatisme","Coloană cervicală","Traumatism cervical sever cu afectare neurologică","G","Radiografia coloanei cervicale","Neindicat","A","Radiografiile sunt în mod frecvent dificil de realizat în decubit dorsal. Adeseori bilanț incomplet al leziunilor. Risc crescut de rezultate fals negative.",,1,1
213,"Traumatisme","Coloană cervicală","Traumatism cervical sever cu deficit neurologic","M","IRM","Indicat","B","IRM-ul constituie metoda cea mai eficace şi mai sigură de evidenţiere a unei leziuni medulare intrinseci, a unei compresii medulare, afectare ligamentară (desi IRM-ul poate supraevalua o leziune ligamentara) sau fracturi vertebrale la diferite niveluri. Dacă nu se poate efectua examenul IRM trebuie luată în considerare efectuarea unei mielografii CT.",,0,0
214,"Traumatisme","Coloană cervicală","Traumatism cervical sever cu deficit neurologic","T","CT","Indicat","B","CT-ul este util pentru bilanţul leziunilor osoase, mai ales al celor de arc vertebral şi în cadrul nevralgiilor cervico-brahiale.",,2,2
215,"Traumatisme","Coloană cervicală","Traumatism cervical sever cu deficit neurologic","G","Radiografie standard","Doar în cazuri particulare","B","Radiografiile simple rămân indicate, mai ales la investigarea luxaţiilor sau leziunilor osoase cu deplasare care trebuie reduse în urgenţă.",,1,1
216,"Traumatisme","Coloană cervicală","Traumatism cervical sever/grav fără afectare neurologică","T","CT coloană cervicală","Indicat","B","Superioritatea incontestabilă a CT, comparativ cu radiografiile standard, în special la pacienții cu vârsta peste 65 de ani.",,2,2
217,"Traumatisme","Coloană cervicală","Traumatism cervical sever/grav fără afectare neurologică","M","IRM coloană cervicală","Doar în cazuri particulare","B","Poate fi efectuată în caz de suspiciune de entorsă gravă. Aceeași indicație ca și în cazul cervicalgiei posttraumatice cu bilanț inițial normal.",,0,0
218,"Traumatisme","Coloană cervicală","Traumatism cervical sever/grav fără afectare neurologică","G","Radiografia coloanei cervicale","Neindicat","B","Radiografiile sunt în mod frecvent dificil de realizat în decubit dorsal. Adeseori bilanț incomplet al leziunilor. Risc crescut de rezultate fals negative.",,1,1
219,"Traumatisme","Coloană cervicală","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
220,"Traumatisme","Coloană toraco-lombară","Dureri toracale sau lombare posttraumatice cu deficit neurologic","M","IRM","Indicat","B","IRM-ul constituie metoda cea mai eficace şi mai sigură de evidenţiere a unei leziuni medulare intrinseci, a unei compresii medulare, afectări ligamentare sau fracturi vertebrale etajate. Daca CT-ul este negativ, IRM-ul este indicat in urgenta.",,0,0
221,"Traumatisme","Coloană toraco-lombară","Dureri toracale sau lombare posttraumatice cu deficit neurologic","T","CT","Indicat","B","Examen de electie pentru bilanțul leziunilor osoase si aprecierea efectului asupra canalului vertebral și foramenelor de conjugare.",,3,3
222,"Traumatisme","Coloană toraco-lombară","Dureri toracale sau lombare posttraumatice cu deficit neurologic","G","Radiografie standard","Neindicat","B","Cu toate că radiografia standard rămâne examenul iniţial, CT-ul şi IRM-ul joacă un rol din ce în ce mai important.",,2,2
223,"Traumatisme","Coloană toraco-lombară","Dureri toracale sau lombare posttraumatice fără deficit neurologic sau imposibilitate de evaluare a pacientului","G","Radiografie standard","Indicat","B","Nu trebuie ezitat să se ceară un bilanţ radiografic în caz de durere, cădere importantă, accident violent, dacă există alte fracturi vertebrale sau dacă pacientul este imposibil de evaluat clinic. Se recurge din ce în ce mai mult la CT şi IRM.",,2,2
224,"Traumatisme","Coloană toraco-lombară","Traumatism coloană toraco-lombară cu deficit neurologic","T","CT coloană toraco-lombară","Indicat","B","CT-ul este examinarea imagistică de elecție pentru bilanțul leziunilor osoase și a repercursiunilor acestora asupra canalului spinal și a gaurilor intervertebrale. ","CT cu sau fără reconstrucții multiplanare oferă analiza detaliată a leziunilor osoase.",3,3
225,"Traumatisme","Coloană toraco-lombară","Traumatism coloană toraco-lombară cu deficit neurologic","M","IRM coloană toraco-lombară","Doar în cazuri particulare","B","IRM-ul constituie metoda cea mai eficace pentru evidențierea unei leziuni medulare intrinseci, a unei compresii medulare sau a fracturilor vertebrale la nivele multiple. Este indicat de urgență în cazul în care CT-ul este normal. ","IRM-ul întregii coloane este indicat în prezența leziunilor la nivele multiple sau a leziunilor ligamentare și ale cozii de cal.",0,0
226,"Traumatisme","Coloană toraco-lombară","Traumatism coloană toraco-lombară cu deficit neurologic","G","Radiografie coloană toraco-lombară","Neindicat","B","Radiografiile standard nu sunt indicate.","Radiografia este prima investigație, dar CT sau IRM sunt esențiale pentru o evaluare completă.",2,2
227,"Traumatisme","Coloană toraco-lombară","Traumatism minor coloană toraco-lombară","G","Radiografie coloană toraco - lombară","Indicat","B","Regulile de predicție clinică pentru coloana cervicală nu sunt transpozabile la nivelul coloanei toraco-lombare.","Examenul clinic este concludent pentru această regiune. Dacă pacientul este conștient, asimptomatic, fără semne neurologice probabilitatea unui diagnostic radiologic diferit, care să schimbe conduita terapeutică este redusă.",1,1
228,"Traumatisme","Coloană toraco-lombară","Traumatism sever coloană toraco-lombară fără deficit neurologic","T","CT coloană toraco-lombară","Indicat","B","CT-ul este examinarea imagistică de elecție pentru bilanțul leziunilor osoase. Acesta este indicat în cazul traumatismelor de înaltă energie, a tulburărilor neurologice, a tulburărilor stării de conștiență, a leziunilor traumatice extraarahnoidiene putându-le diferenția, în prezența semnelor clinice de fractură vertebrală, în caz de sensibilitate dureroasă a liniei corespunzătoare proceselor spinoase, în prezența semnelor de intoxicație.","Dacă radiografia sugerează instabilitate sau fractura zidului posterior , CT sau IRM sunt esențiale. Dacă există multiple leziuni care necesită CT, reconstrucțiile CT ale coloanei toracice fac inutilă examinarea radiografică.",3,4
229,"Traumatisme","Coloană toraco-lombară","Traumatism sever coloană toraco-lombară fără deficit neurologic","M","IRM coloană toraco-lombară","Doar în cazuri particulare","B","IRM-ul este examenul imagistic de elecție pentru bilanțul leziunilor disco-ligamentare. În caz de instabilitate a coloanei vertebrale, IRM-ul poate fi util pentru stabilirea indicației operatorii.",,0,0
230,"Traumatisme","Coloană toraco-lombară","Traumatism sever coloană toraco-lombară fără deficit neurologic","G","Radiografie coloană toraco-lombară","Neindicat","B","Clișee adesea dificil de efectuat. Bilanț frecvent incomplet. Risc crescut de rezultate fals-negative. Risc de omitere a leziunilor în politraumatism. ","Importanța diagnostică a radiografiei este redusă dacă există durere sau sensibilitate în urma unui traumatism semnificativ prin cădere, a unui accident rutier cu impact major și a prezenței altor fracturi vertebrale, sau atunci când nu este posibilă evaluarea clinică a pacientului .",1,1
231,"Traumatisme","Coloană toraco-lombară","Traumatism: absenţa durerii şi deficitului neurologic","G","Radiografie standard","Neindicat","A","Examenul clinic este fiabil la acest nivel. Dacă pacientul este conştient, orientat temporo-spaţial şi asimptomatic, probabilitatea unei leziuni este redusă.",,2,2
232,"Traumatisme","Coloană toraco-lombară","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
233,"Traumatisme","Corp străin","Ingestie de corp străin, situat la nivel faringian sau esofagian înalt ","G","Radiografie părți moi cervicale de profil","Doar în cazuri particulare","B","Dacă corpul străin nu este vizualizat la examenul orofaringian. Mulți corpi străini în special alimentari (oase de pește) nu se vizualizează pe radiografie. Radiografia poate pune în evidență semne indirecte (îngroșarea părților moi, incluziuni aerice) care orientează spre topografia corpului străin.","Dacă examinarea clinică a orofaringelui este negativă, poate fi utilă radiografia cervicală laterală de părți moi pentru decelarea corpului străin intrafaringian și laringian. Poate fi dificilă diferențierea corpului străin de calcificări cartilaginoase. Radiografia toracică poate evindenția atât prezența corpului străin opac esofagian și traheo-bronșic cât și eventuale complicații (colaps).",1,1
234,"Traumatisme","Corp străin","Ingestie de corp străin, situat la nivel faringian sau esofagian înalt ","T","CT regiune cervicală și torace","Doar în cazuri particulare","B","CT este mai sensibilă decat radiografia simplă pentru vizualizarea corpilor străini. CT înlocuiește radiografia atunci când este suspectată clinic o complicație (perforație, abces).","CT poate fi utilă pentru excluderea unui corp străin sau a complicațiilor la pacientul cu simptomatologie persistentă de ingestie de corp străin după o endoscopie negativă.",2,2
235,"Traumatisme","Corp străin","Ingestie de corp străin, situat la nivel faringian sau esofagian înalt ","Z","Explorari imagistice","Neindicat","?","Examenul cavității orofaringiene trebuie efectuat de primă intenție deoarece permite vizualizarea majorității corpilor străini alimentari ingerați. Poate fi completat de o faringoscopie. Atunci când aceste examinări nu au permis reperarea și extracția corpilor străini pot fi necesare alte metode de diagnostic.",,0,0
236,"Traumatisme","Corp străin","Traumatism de părţi moi cu suspiciune de corp străin (metal, sticlă, lemn pictat, ghimpe)","E","Ecografie de părți moi","Indicat","B","În caz de radiografie negativă sau în caz de necunoaştere a naturii corpului străin, este indicat examenul ecografic specializat deoarece acesta evidenţiază perfect corpii străini radiotransparenţi.","Ecografia poate evidenția tenosinovita adiacentă sau granulomul de corp străin și este utilă în ghidajul îndepărtării corpului străin.",0,0
237,"Traumatisme","Corp străin","Traumatism de părţi moi cu suspiciune de corp străin (metal, sticlă, lemn pictat, ghimpe)","G","Radiografie de părți moi","Indicat","B","Indicată pentru identificarea corpilor străini radioopaci.","Sticla este radioopacă. Daca este posibil  prima dată trebuie îndepartată îmbrăcămintea murdară, pătată de sânge.",1,1
238,"Traumatisme","Corp străin","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
239,"Traumatisme","Faţă şi orbite","Leziune facială centrală","T","CT regiune cervicală","Indicat","B","Realizează bilanțul osos complet și evaluarea complicațiilor cu indicație de tratament de urgență, precum și a eventualelor leziuni cerebrale parenchimatoase asociate.","Cooperarea pacientului este esențială pentru acuratețea diagnosticului.",2,2
240,"Traumatisme","Faţă şi orbite","Leziune facială centrală","G","Radiografia oaselor faciale","Neindicat","?","Sensibilitate redusă.","Pentru managementul traumatismelor complexe poate fi recomandat un examen CT cu doza redusă, dupa o discuție prealabilă cu chirurgul maxilo-facial.",1,1
241,"Traumatisme","Faţă şi orbite","Leziuni orbitare (suspiciune de corp străin)","E","Ecografia orbitelor","Indicat","A",,"Ecografia poate fi indicată pentru corpii străini radiotransparenți sau atunci când radiografia este dificilă.",0,0
242,"Traumatisme","Faţă şi orbite","Leziuni orbitare (suspiciune de corp străin)","G","Radiografia orbitelor","Indicat","A",,"Radiografia simplă de orbite este indicată pentru excluderea unui corp străin metalic, imaginile radiologice cu diferite poziții ale globilor oculari sunt utile numai pentru confirmarea poziției exacte intraoculare a corpului străin deja evidențiat. Radiografia postero-anterioară este utilă înaintea IRM pentru excluderea unui corp străin metalic. Dacă acesta este confirmat, se recomandă CT.",1,2
243,"Traumatisme","Faţă şi orbite","Leziuni orbitare (suspiciune de corp străin)","T","CT","Doar cu aviz specializat","C",,"Examenul CT este indicat atunci când radiografia este negativă (în cazul unei înalte suspiciuni de corp străin care poate fi nemetalic), în cazul prezenței corpilor străini multipli sau pentru stabilirea localizării exacte intra- sau extraoculare a unui corp străin deja evidențiat.",2,2
244,"Traumatisme","Faţă şi orbite","Traumatism mandibular","G","Ortopantomogramă (Radiografia panoramică)","Indicat","C","Examinarea este insuficientă pentru evaluarea anumitor fracturi mandibulare, în particular simfizare sau sagitale. Analiza articulației temporo-mandibulare și a condililor este uneori dificilă.","Deși radiografia panoramică este adecvată pentru evaluarea traumatismelor mandibulare necomplicate, CT are acuratețe crescută, în particular pentru traumatismele complexe. Radiografia panoramică nu este indicată pacienților cu leziuni multiple sau necooperanți.",1,1
245,"Traumatisme","Faţă şi orbite","Traumatism mandibular","G","Radiografie de maxilar inferior","Indicat","C","Examinarea este insuficientă pentru evaluarea anumitor fracturi mandibulare, în particular simfizare sau sagitale. Analiza articulației temporo-mandibulare și a condililor este uneori dificilă.","Deși radiografia este adecvată pentru evaluarea traumatismelor mandibulare necomplicate, CT are acuratețe crescută, în particular pentru traumatismele complexe.",1,1
246,"Traumatisme","Faţă şi orbite","Traumatism mandibular","T","CT regiune cervicală","Indicat","B","Sensibilitate crescută. Utilă pentru evaluarea articulației temporo-mandibulare, evaluarea traumatismelor dentare asociate, reconstrucții tridimensionale preoperatorii.",,2,2
247,"Traumatisme","Faţă şi orbite","Traumatism mandibular","T","Tomografie volumetrică cu fascicul conic (Cone beam CT)","Doar cu aviz specializat","C","Acest examen este în curs de evaluare datorită dozelor reduse de iradiere și caracterului tridimensional al imaginii.","Cone beam CT are acuratețe superioară radiografiei panoramice. IRM poate fi utilă în cazul fracturilor severe de condil mandibular pentru evaluarea leziunilor discale și capsulare.",1,1
248,"Traumatisme","Faţă şi orbite","Traumatism nazal","T","CT regiune cervicală","Doar în cazuri particulare","B","Indicat în caz de leziune traumatică cranio-facială asociată.",,2,2
249,"Traumatisme","Faţă şi orbite","Traumatism nazal","G","Radiografie de profil","Neindicat","?",,,1,1
250,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune penetrantă","T","CT de orbite","Indicat","B","Detecteaza 100% corpii străini intraorbitari radio-opaci și îi localizează în raport cu nervul și cu globul ocular.","Este util în special în cazul suspiciunii de corpi străini intraorbitari de mici dimensiuni sau nemetalici (slab radioopaci), nedecelabili clinic dar cu semne clinice evidente de penetrare oculară.",2,2
251,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune penetrantă","M","IRM de orbite","Doar în cazuri particulare","B","Se efectuează în cazul suspiciunii de leziuni neuro-meningiene și vasculare asociate. IRM este contraindicat înaintea efectuării unui examen CT pentru excluderea prezenței corpilor străini feromagnetici.","În cazul suspiciunii clinice clare de corp străin nemetalic (lemn) IRM poate fi necesar după epuizarea celorlalte investigații imagistice, în scopul localizării sau identificării corpului străin.",0,0
252,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune penetrantă","E","Ecografia orbitelor","Doar cu aviz specializat","B","Precizează localizarea corpilor străini detectați la examenul CT și efectuează bilanțul leziunilor oculare asociate.","Ecografia este utilă pentru corpii străini intraoculari anteriori dar este contraindicată în ruptura globului ocular.",0,0
253,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune penetrantă","G","Radiografia orbitelor","Neindicat","?","Sensibilitate redusă.",,1,1
254,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune produsă de un corp contondent","T","CT de orbite","Indicat","B","Realizează un bilanț complet, în special în cazul conturului și planșeului orbitar. Se efectuează în urgență în caz de tulburări de oculomotricitate.","Examenul CT este indicat în caz de suspiciune clinică de fractură neevidențiată radiografic și pentru stabilirea conduitei operatorii. CT ar trebui să fie investigația de primă intenție în cazul unei fracturi evidente clinic sau al unui traumatism facial major, pentru evaluarea completă a leziunilor și stabilirea strategiei chirurgicale.",2,2
255,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune produsă de un corp contondent","M","IRM de orbite","Doar în cazuri particulare","B","Dacă examenul CT nu oferă date precise referitoare la conținutul globului ocular și a căilor vizuale, mai ales a nervului optic. Este contraindicată în cazul suspiciunii de corp străin feromagnetic.","IRM (doar cu aviz specializat) poate fi luat în considerare la copii, pentru evitarea iradierii globului ocular. Este util pentru evidențierea hernierii de părți moi orbitare, dar este inferior CT pentru evidențierea traiectelor de fractură.",0,0
